Year,Month,Day,Event,DayCategory
2009,1,1,New Year's Day,Federal Holiday
2009,1,19,Martin Luther King Jr. Day,Federal Holiday
2009,2,14,Valentine's Day,Event
2009,2,16,Presidents' Day,Federal Holiday
2009,4,12,Easter Sunday,Event
2009,5,10,Mother's Day,Event
2009,5,25,Memorial Day,Federal Holiday
2009,6,21,Father's Day,Event
2009,7,3,'Independence Day' observed,Federal Holiday
2009,7,4,Independence Day,Federal Holiday
2009,9,7,Labor Day,Federal Holiday
2009,10,12,Columbus Day (Most regions),Federal Holiday
2009,10,31,Halloween,Event
2009,11,11,Veterans Day,Federal Holiday
2009,11,26,Thanksgiving Day,Federal Holiday
2009,12,24,Christmas Eve,Event
2009,12,25,Christmas Day,Federal Holiday
2009,12,31,New Year's Eve,Event
2010,1,1,New Year's Day,Federal Holiday
2010,1,18,Martin Luther King Jr. Day,Federal Holiday
2010,2,14,Valentine's Day,Event
2010,2,15,Presidents' Day,Federal Holiday
2010,4,4,Easter Sunday,Event
2010,5,9,Mother's Day,Event
2010,5,31,Memorial Day,Federal Holiday
2010,6,20,Father's Day,Event
2010,7,4,Independence Day,Federal Holiday
2010,7,5,'Independence Day' observed,Federal Holiday
2010,9,6,Labor Day,Federal Holiday
2010,10,11,Columbus Day (Most regions),Federal Holiday
2010,10,31,Halloween,Event
2010,11,11,Veterans Day,Federal Holiday
2010,11,25,Thanksgiving Day,Federal Holiday
2010,12,24,'Christmas Day' observed,Federal Holiday
2010,12,24,Christmas Eve,Event
2010,12,25,Christmas Day,Federal Holiday
2010,12,31,'New Year's Day' observed,Federal Holiday
2010,12,31,New Year's Eve,Event
2011,1,1,New Year's Day,Federal Holiday
2011,1,17,Martin Luther King Jr. Day,Federal Holiday
2011,2,14,Valentine's Day,Event
2011,2,21,Presidents' Day,Federal Holiday
2011,4,24,Easter Sunday,Event
2011,5,8,Mother's Day,Event
2011,5,30,Memorial Day,Federal Holiday
2011,6,19,Father's Day,Event
2011,7,4,Independence Day,Federal Holiday
2011,9,5,Labor Day,Federal Holiday
2011,10,10,Columbus Day (Most regions),Federal Holiday
2011,10,31,Halloween,Event
2011,11,11,Veterans Day,Federal Holiday
2011,11,24,Thanksgiving Day,Federal Holiday
2011,12,24,Christmas Eve,Event
2011,12,25,Christmas Day,Federal Holiday
2011,12,26,'Christmas Day' observed,Federal Holiday
2011,12,31,New Year's Eve,Event
2012,1,1,New Year's Day,Federal Holiday
2012,1,2,'New Year's Day' observed,Federal Holiday
2012,1,16,Martin Luther King Jr. Day,Federal Holiday
2012,2,14,Valentine's Day,Event
2012,2,20,Presidents' Day,Federal Holiday
2012,4,8,Easter Sunday,Event
2012,5,13,Mother's Day,Event
2012,5,28,Memorial Day,Federal Holiday
2012,6,17,Father's Day,Event
2012,7,4,Independence Day,Federal Holiday
2012,9,3,Labor Day,Federal Holiday
2012,10,8,Columbus Day (Most regions),Federal Holiday
2012,10,31,Halloween,Event
2012,11,6,Election Day,Event
2012,11,11,Veterans Day,Federal Holiday
2012,11,22,Thanksgiving Day,Federal Holiday
2012,12,24,Christmas Eve,Event
2012,12,25,Christmas Day,Federal Holiday
2012,12,31,New Year's Eve,Event
2013,1,1,New Year's Day,Federal Holiday
2013,1,21,Martin Luther King Jr. Day,Federal Holiday
2013,2,14,Valentine's Day,Event
2013,2,18,Presidents' Day,Federal Holiday
2013,3,31,Easter Sunday,Event
2013,5,12,Mother's Day,Event
2013,5,27,Memorial Day,Federal Holiday
2013,6,16,Father's Day,Event
2013,7,4,Independence Day,Federal Holiday
2013,9,2,Labor Day,Federal Holiday
2013,10,14,Columbus Day (Most regions),Federal Holiday
2013,10,31,Halloween,Event
2013,11,11,Veterans Day,Federal Holiday
2013,11,28,Thanksgiving Day,Federal Holiday
2013,12,24,Christmas Eve,Event
2013,12,25,Christmas Day,Federal Holiday
2013,12,31,New Year's Eve,Event
2014,1,1,New Year's Day,Federal Holiday
2014,1,20,Martin Luther King Jr. Day,Federal Holiday
2014,2,14,Valentine's Day,Event
2014,2,17,Presidents' Day,Federal Holiday
2014,4,13,Thomas Jefferson's Birthday,Event
2014,4,20,Easter Sunday,Event
2014,5,11,Mother's Day,Event
2014,5,26,Memorial Day,Federal Holiday
2014,6,15,Father's Day,Event
2014,7,4,Independence Day,Federal Holiday
2014,9,1,Labor Day,Federal Holiday
2014,10,13,Columbus Day (Most regions),Federal Holiday
2014,10,31,Halloween,Event
2014,11,11,Veterans Day,Federal Holiday
2014,11,27,Thanksgiving Day,Federal Holiday
2014,12,24,Christmas Eve,Event
2014,12,25,Christmas Day,Federal Holiday
2014,12,31,New Year's Eve,Event
