,Year,Month,Monthly Real GDP Index (inMillion$),CPI,unemployment rate,Earnings or wages  in dollars per hour,Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Exports,has_fathers_day,has_christmas,MenClothing
0,2009,1,14407.053343022,233.402,7.8,22.05,57.7,4.02,11.55,0,0,524.0
1,2009,2,14366.1765714005,234.663,8.3,22.22,55.21,-4.32,11.1,0,0,496.0
2,2009,3,14351.7868217385,235.067,8.7,22.22,51.5,-6.72,11.65,0,0,542.0
3,2009,4,14351.6017305356,235.582,9.0,22.13,56.78,10.25,12.225,0,0,669.0
4,2009,5,14368.1239591978,235.975,9.4,22.04,61.95,9.11,12.3,0,0,650.0
5,2009,6,14346.8201055735,237.172,9.5,21.96,61.39,-0.9,10.3,1,0,607.0
6,2009,7,14345.6760973542,237.6,9.5,22.0,64.8,5.55,9.7,0,0,575.0
7,2009,8,14435.812508554,238.282,9.6,22.16,64.26,-0.83,9.7,0,0,551.0
8,2009,9,14425.9727515716,238.568,9.8,22.2,64.07,-0.3,10.0,0,0,579.0
9,2009,10,14595.3930938759,238.38,10.0,22.27,66.82,4.29,10.0,0,0,610.0
10,2009,11,14559.4101732519,238.777,9.9,22.44,71.78,7.42,9.95,0,0,620.0
11,2009,12,14471.040843924,238.427,9.9,22.38,76.78,6.97,10.425,0,1,930.0
12,2010,1,14551.0248379337,238.97,9.8,22.51,77.4,0.81,10.4,0,0,476.0
13,2010,2,14581.3756942286,238.862,9.8,22.57,80.04,3.41,11.4,0,0,471.0
14,2010,3,14682.0107425024,240.101,9.9,22.48,85.79,7.18,11.375,0,0,568.0
15,2010,4,14724.2001528266,240.529,9.9,22.53,88.09,2.68,11.365,0,0,630.0
16,2010,5,14741.3673469787,241.075,9.6,22.6,90.07,2.25,11.34,0,0,627.0
17,2010,6,14772.3180512573,240.817,9.4,22.34,91.68,1.79,13.05,1,0,598.0
18,2010,7,14833.7492771408,241.147,9.4,22.41,84.15,-8.21,13.8,0,0,544.0
