,Year,Month,Monthly Real GDP Index (inMillion$),CPI,unemployment rate,Earnings or wages  in dollars per hour,Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Exports,has_christmas,OtherClothing
0,2009,1,14407.053343022,233.402,7.8,22.05,57.7,4.02,11.55,0,936.0
1,2009,2,14366.1765714005,234.663,8.3,22.22,55.21,-4.32,11.1,0,859.0
2,2009,3,14351.7868217385,235.067,8.7,22.22,51.5,-6.72,11.65,0,921.0
3,2009,4,14351.6017305356,235.582,9.0,22.13,56.78,10.25,12.225,0,914.0
4,2009,5,14368.1239591978,235.975,9.4,22.04,61.95,9.11,12.3,0,989.0
5,2009,6,14346.8201055735,237.172,9.5,21.96,61.39,-0.9,10.3,0,932.0
6,2009,7,14345.6760973542,237.6,9.5,22.0,64.8,5.55,9.7,0,901.0
7,2009,8,14435.812508554,238.282,9.6,22.16,64.26,-0.83,9.7,0,865.0
8,2009,9,14425.9727515716,238.568,9.8,22.2,64.07,-0.3,10.0,0,819.0
9,2009,10,14595.3930938759,238.38,10.0,22.27,66.82,4.29,10.0,0,914.0
10,2009,11,14559.4101732519,238.777,9.9,22.44,71.78,7.42,9.95,0,955.0
11,2009,12,14471.040843924,238.427,9.9,22.38,76.78,6.97,10.425,1,1351.0
12,2010,1,14551.0248379337,238.97,9.8,22.51,77.4,0.81,10.4,0,945.0
13,2010,2,14581.3756942286,238.862,9.8,22.57,80.04,3.41,11.4,0,869.0
14,2010,3,14682.0107425024,240.101,9.9,22.48,85.79,7.18,11.375,0,941.0
15,2010,4,14724.2001528266,240.529,9.9,22.53,88.09,2.68,11.365,0,941.0
16,2010,5,14741.3673469787,241.075,9.6,22.6,90.07,2.25,11.34,0,991.0
17,2010,6,14772.3180512573,240.817,9.4,22.34,91.68,1.79,13.05,0,984.0
18,2010,7,14833.7492771408,241.147,9.4,22.41,84.15,-8.21,13.8,0,937.0
19,2010,8,14824.1657696352,241.569,9.5,22.55,90.35,7.37,14.525,0,897.0
20,2010,9,14878.5469831135,241.485,9.5,22.6,104.73,15.92,15.025,0,839.0
21,2010,10,14945.4270878445,241.981,9.4,22.7,126.55,20.83,15.025,0,930.0
22,2010,11,14896.6748133866,241.96,9.8,22.69,155.47,22.85,15.275,0,1035.0
23,2010,12,14975.0402068452,241.874,9.3,22.76,168.22,8.2,15.275,1,1398.0
24,2011,1,14838.1555802799,242.639,9.1,23.16,178.93,6.37,15.28,0,968.0
25,2011,2,14801.7341813383,243.832,9.0,22.99,213.18,19.14,15.28,0,878.0
26,2011,3,15004.1154699802,245.617,9.0,22.9,229.67,7.74,15.28,0,1064.0
