Year,Month,has_christmas,has_thanksgiving,has_mothers_day,has_fathers_day,has_valentines,has_easter,has_new_year
2009,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2009,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2010,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2010,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2010,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2012,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2013,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2013,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2013,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2014,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2014,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
