,Year,Quarter,GDP,temp_avg,temp_high_max,precip_total,humidity_avg,visibility,wind,rainy_days,snowy_days,foggy_days,has_christmas,has_thanksgiving,has_mothers_day,has_fathers_day,has_valentines,has_easter,has_new_year,has_halloween,has_independence_day,has_labor_day,has_memorial_day,has_presidents_day,MenClothing
0,2009,1,14430.902,2.2,21.0,142.07,56.21111111111111,14.455555555555556,11.855555555555556,17,11,8,0,0,0,0,1,0,1,0,0,0,0,1,1562.0
1,2009,2,14381.236,16.53846153846154,33.0,506.02,67.7032967032967,12.780219780219781,8.943181818181818,46,0,10,0,0,1,1,0,1,0,0,0,0,1,0,1926.0
2,2009,3,14448.882,22.152173913043477,33.0,345.48,71.01086956521739,14.141304347826088,7.978260869565218,33,0,12,0,0,0,0,0,0,0,0,1,1,0,0,1705.0
3,2009,4,14651.249,8.652173913043478,23.0,367.35,65.8913043478261,14.16304347826087,11.423913043478262,32,5,4,1,1,0,0,0,0,1,1,0,0,0,0,2160.0
4,2010,1,14764.61,3.6,23.0,494.37,59.86666666666667,13.88888888888889,12.533333333333333,22,17,6,0,0,0,0,1,0,1,0,0,0,0,1,1515.0
5,2010,2,14980.193,18.956043956043956,34.0,208.37,59.9010989010989,14.54945054945055,9.054945054945055,26,0,5,0,0,1,1,0,1,0,0,0,0,1,0,1855.0
6,2010,3,15141.607,24.91304347826087,39.0,264.47,61.48913043478261,14.576086956521738,8.108695652173912,26,0,9,0,0,0,0,0,0,0,0,1,1,0,0,1651.0
7,2010,4,15309.474,8.065217391304348,24.0,287.09,60.51086956521739,14.41304347826087,11.152173913043478,21,4,6,1,1,0,0,0,0,1,1,0,0,0,0,2291.0
8,2011,1,15351.448,2.388888888888889,25.0,372.93,56.87777777777778,13.333333333333334,11.622222222222222,21,17,13,0,0,0,0,1,0,1,0,0,0,0,1,1583.0
9,2011,2,15557.539,17.714285714285715,35.0,348.28999999999996,68.37362637362638,12.494505494505495,9.340659340659341,32,0,9,0,0,1,1,0,1,0,0,0,0,1,0,2044.0
10,2011,3,15647.68,24.097826086956523,40.0,796.84,71.18478260869566,12.847826086956522,7.119565217391305,32,0,12,0,0,0,0,0,0,0,0,1,1,0,0,1779.0
11,2011,4,15842.259,10.576086956521738,29.0,333.76,64.8586956521739,14.41304347826087,9.032608695652174,28,2,4,1,1,0,0,0,0,1,1,0,0,0,0,2470.0
12,2012,1,16068.805,6.393258426966292,26.0,140.76,58.42696629213483,14.157303370786517,10.820224719101123,28,6,5,0,0,0,0,1,0,1,0,0,0,0,1,1693.0
13,2012,2,16207.115,17.714285714285715,34.0,303.11,63.362637362637365,13.648351648351648,7.461538461538462,38,0,5,0,0,1,1,0,1,0,0,0,0,1,0,2139.0
14,2012,3,16319.541,23.91304347826087,38.0,292.4,66.15217391304348,14.576086956521738,6.130434782608695,27,0,8,0,0,0,0,0,0,0,0,1,1,0,0,1913.0
15,2012,4,16420.419,8.967391304347826,26.0,242.10999999999999,67.82608695652173,13.478260869565217,9.228260869565217,31,7,9,1,1,0,0,0,0,1,1,0,0,0,0,2521.0
16,2013,1,16648.189,2.6,16.0,251.06,59.922222222222224,13.61111111111111,11.188888888888888,21,18,10,0,0,0,0,1,1,1,0,0,0,0,1,1841.0
17,2013,2,16728.687,17.274725274725274,33.0,493.07,61.83516483516483,13.659340659340659,8.351648351648352,34,0,11,0,0,1,1,0,0,0,0,0,0,1,0,2145.0
18,2013,3,16953.838,23.532608695652176,37.0,219.49,64.20652173913044,13.902173913043478,6.489130434782608,32,0,8,0,0,0,0,0,0,0,0,1,1,0,0,2016.0
19,2013,4,17192.019,9.01086956521739,30.0,212.41,58.641304347826086,14.152173913043478,9.173913043478262,25,7,5,1,1,0,0,0,0,1,1,0,0,0,0,2668.0
