,Year,Month,Day,Temp high (°C),Temp avg (°C),Temp low (°C),Dew Point high (°C),Dew Point avg (°C),Dew Point low (°C),Humidity (%) high,Humidity (%) avg,Humidity (%) low,Sea Level Press. (hPa) high,Sea Level Press. (hPa) avg,Sea Level Press. (hPa) low,Visibility (km) high,Visibility (km) avg,Visibility (km) low,Wind (km/h) low,Wind (km/h) avg,Wind (km/h) high,Precip. (mm) sum,WeatherEvent
0,2009,Jan,1,-3,-6,-9,-16,-17,-19,54,43,32,1025,1023,1015,16,16,16,37,18,60,0,
1,2009,Jan,2,1,-2,-5,-3,-7,-17,78,57,36,1022,1012,1007,16,13,2,27,10,48,T,Snow
2,2009,Jan,3,3,1,-2,-5,-9,-13,72,54,35,1018,1015,1008,16,16,16,27,16,42,T,
3,2009,Jan,4,6,1,-4,-10,-12,-13,55,42,29,1020,1017,1015,16,16,16,32,12,40,0,
4,2009,Jan,5,6,5,3,-1,-5,-16,62,48,33,1016,1014,1013,16,16,16,23,11,34,T,
5,2009,Jan,6,3,2,-1,-2,-11,-18,85,54,22,1019,1015,1009,16,14,6,24,11,29,2.03,Rain
6,2009,Jan,7,3,2,-1,2,1,-2,96,91,85,1008,994,986,16,8,3,40,17,52,30.23,Rain
7,2009,Jan,8,3,1,-2,0,-6,-9,82,63,44,1006,997,989,16,16,16,34,18,50,0,
8,2009,Jan,9,0,-2,-3,-10,-11,-12,58,51,43,1024,1016,1006,16,16,16,29,16,47,0,
9,2009,Jan,10,-1,-3,-5,-3,-7,-12,88,69,50,1026,1022,1012,16,8,1,26,11,39,3.56,"Fog , Rain , Snow"
10,2009,Jan,11,-1,-2,-4,-2,-5,-9,92,78,63,1016,1011,1007,16,13,5,29,11,35,4.83,Rain
11,2009,Jan,12,1,-3,-6,-9,-10,-11,77,61,45,1026,1022,1015,16,16,16,23,10,32,0,
12,2009,Jan,13,5,2,-2,-1,-4,-9,70,62,53,1026,1015,1007,16,16,16,24,9,34,0,
13,2009,Jan,14,2,-3,-9,-3,-16,-20,70,52,33,1022,1017,1006,16,16,14,32,14,47,0,
14,2009,Jan,15,-6,-7,-9,-10,-13,-18,84,66,47,1030,1023,1019,16,9,0,26,12,35,1.27,Snow
15,2009,Jan,16,-9,-11,-13,-16,-20,-22,59,48,36,1035,1032,1029,16,16,16,24,15,35,0,
16,2009,Jan,17,-6,-10,-14,-13,-19,-22,60,50,39,1036,1031,1025,16,16,16,26,9,40,0,
17,2009,Jan,18,2,-2,-6,-1,-4,-12,100,78,55,1025,1013,1006,16,7,1,19,9,27,4.57,"Fog , Snow"
18,2009,Jan,19,1,-1,-3,-2,-3,-6,92,78,63,1007,1005,1003,16,7,1,14,4,21,4.57,"Fog , Snow"
19,2009,Jan,20,-2,-4,-7,-7,-11,-13,81,66,50,1008,1005,1003,16,16,14,24,10,35,0,
20,2009,Jan,21,-3,-6,-8,-13,-14,-17,67,50,33,1015,1012,1009,16,16,16,26,13,32,0,
21,2009,Jan,22,3,-2,-7,-7,-10,-13,62,55,47,1017,1015,1014,16,16,16,24,11,37,0,
22,2009,Jan,23,8,4,-1,-1,-5,-9,66,52,38,1018,1013,1006,16,16,11,26,8,40,0,
23,2009,Jan,24,8,0,-8,-1,-12,-20,58,46,33,1027,1017,1006,16,16,16,35,18,56,0,
24,2009,Jan,25,-3,-7,-11,-13,-17,-19,55,44,33,1028,1027,1025,16,16,16,23,10,32,0,
25,2009,Jan,26,-2,-4,-7,-13,-15,-17,57,44,31,1031,1029,1028,16,16,16,16,8,23,0,
26,2009,Jan,27,-2,-3,-4,-11,-14,-17,55,44,33,1033,1031,1029,16,16,16,21,7,26,0,
27,2009,Jan,28,5,1,-4,4,-1,-11,100,70,39,1029,1012,999,16,5,1,34,15,52,24.64,"Fog , Rain , Snow"
28,2009,Jan,29,2,-1,-3,-7,-9,-11,59,52,45,1015,1013,1008,16,16,16,34,14,52,0,
29,2009,Jan,30,2,-1,-3,-4,-7,-11,69,60,50,1014,1012,1010,16,14,8,26,11,40,T,Snow
30,2009,Jan,31,-3,-4,-7,-11,-14,-16,62,50,37,1018,1015,1012,16,16,16,32,14,47,0,
31,2009,Feb,1,11,4,-3,-2,-6,-13,58,48,38,1016,1013,1010,16,16,16,24,12,40,0,
32,2009,Feb,2,12,7,1,-1,-3,-6,75,53,30,1015,1013,1011,16,16,14,26,8,35,T,
33,2009,Feb,3,1,-1,-4,-1,-2,-9,100,88,75,1014,1009,1005,16,6,0,26,13,35,7.11,"Fog , Snow"
34,2009,Feb,4,-1,-4,-8,-13,-15,-17,68,51,34,1022,1016,1010,16,16,16,27,12,37,0,
35,2009,Feb,5,-6,-9,-11,-17,-18,-19,61,47,37,1030,1026,1022,16,16,16,27,14,40,0,
36,2009,Feb,6,0,-4,-9,-11,-14,-18,54,47,39,1031,1029,1027,16,16,16,23,9,32,0,
37,2009,Feb,7,10,4,-2,1,-4,-11,70,58,45,1029,1024,1015,16,16,14,29,6,39,0,
38,2009,Feb,8,14,9,3,6,-1,-7,66,53,39,1024,1017,1013,16,16,16,34,15,53,T,
39,2009,Feb,9,7,4,1,-6,-7,-7,61,49,37,1030,1028,1024,16,16,16,24,9,40,0,
40,2009,Feb,10,10,6,2,3,0,-6,76,61,45,1029,1023,1018,16,16,16,21,6,27,0,
41,2009,Feb,11,18,13,7,9,6,2,80,66,52,1017,1010,997,16,13,6,19,7,24,0.76,Rain
42,2009,Feb,12,14,11,7,11,2,-3,89,67,44,1004,996,992,16,15,4,48,22,77,3.05,Rain
43,2009,Feb,13,7,3,-1,-3,-9,-15,53,37,20,1016,1011,1004,16,16,16,35,19,58,0,
44,2009,Feb,14,5,2,-2,-9,-11,-12,50,40,30,1016,1013,1011,16,16,16,23,10,29,0,
45,2009,Feb,15,6,2,-2,-9,-11,-13,58,43,27,1020,1017,1013,16,16,16,24,12,34,0,
46,2009,Feb,16,4,1,-2,-8,-9,-12,58,49,40,1023,1021,1020,16,16,16,24,9,32,0,
47,2009,Feb,17,4,0,-4,-7,-10,-13,63,45,27,1025,1023,1021,16,16,16,19,8,27,0,
48,2009,Feb,18,7,3,0,6,-1,-9,100,74,47,1021,1009,997,16,11,3,27,9,40,8.13,"Rain , Snow"
49,2009,Feb,19,10,4,-3,6,-1,-15,92,64,35,1004,997,994,16,14,6,39,15,61,0,
50,2009,Feb,20,1,-2,-5,-11,-14,-17,50,42,33,1015,1008,1004,16,16,16,37,22,61,0,
51,2009,Feb,21,6,1,-3,-5,-11,-12,55,42,28,1024,1022,1016,16,16,16,27,12,40,0,
